title,label,label_score
"Anak Penjaga Kebersihan Masjid Lantamal 1 Belawan Lulus TNI, Hafal Quran dan Punya Suara Merdu",clickbait,1
Wakil Menkeu : Kenaikan Iuran BPJS Tidak Akan Berpengaruh pada Penduduk Miskin,non-clickbait,0
"Miliki Reputasi Kualitas Dunia, Powerbank G-Power Diluncurkan di Indonesia",non-clickbait,0
"Pendukung Jokowi Ngaku Diculik di Masjid, Ini Bantahan Pihak DKM",clickbait,1
"Sebentar Lagi, Minyak Curah Dilarang, Warga Harus Beli Minyak Kemasan",clickbait,1
"Ya Tuhan... Hubungan Sedarah di Sumut Meningkat 40%, Paling Banyak Kasusnya di...",clickbait,1
Ruangan Eldin dan Kadis PU Disegel KPK Sejak Dinihari,non-clickbait,0
Gubernur Sumbar : Kita Harus Bantu Pulangkan Seluruh Orang Minang Dari Papua,non-clickbait,0
"Anggota KPK Hampir Tewas saat Kejar Anak Buah Eldin, Ini Kronologinya...",clickbait,1
"Nggak Pernah Datang ke Sidang PBB, JK : Semoga Nanti Pak Jokowi Berani Datang",clickbait,1
Inilah 3 Lokasi di Kota Medan dengan Harga Rumah yang Fantastis!,clickbait,1
"Akhirnya... Besok Jokowi Turun, Temui Perwakilan Mahasiswa",clickbait,1
"Dipukuli Debt Colector, Lapor Polisi, Sudah Setahun Lebih Masih Nggak Jelas",clickbait,1
"Kejar-kejaran, Saling Tembak, Bandar Sabu Tewas di Depan Mapolres",clickbait,1
"14 Tahun Mengenang Tragedi Mandala Air, Serpihan Bunga Api di Atas Padang Bulan",clickbait,1
"Terjaring Razia, Mobil Dinas Anggota Dewan Pakai 3 Lapis Pelat Palsu, Tapi Dilepas...",clickbait,1
"Viral! Video Tolak Pelantikan Jokowi, ""Sering ke Papua. Tapi Hatinya Tidak Tulus untuk Orang Papua""",clickbait,1
"Kecelakaan Maut, Mayat Bergelimpangan, Warga Malah Asyik Ambil Foto dan Video!",clickbait,1
"Hajab Kali! Parkir di Kantor Gubsu, Rp1,6 M Hilang, Padahal Buat Bayar Honor",clickbait,1
Sudah 6 Kali Pak Habibie Diterpa Hoax Meninggal Dunia,clickbait,1
"Miris!! Janda Ini Terlantar di Medan Deli Bersama Anak-anaknya, Berjualan Baju",clickbait,1
"Jika RUU Ini Disahkan, Gelandangan Bakal Didenda Rp1 Juta",clickbait,1
Breaking News! Anggota OKP dan Prajurit TNI Bentrok di Marendal,clickbait,1
"Miris... Bukannya Ditolong, Dagangan Kakek Penjual Roti Malah Dijarah Kawanan Bajing Loncat",clickbait,1
"Sial Kali Ah! Rampasan Terlepas, Muka Jeleknya Terekam dan Viral Pulak, Tinggal Diciduk Ajalah!",clickbait,1
Polres Binjai Apresiasi Kedisiplinan Guru dan Siswa di SD Negeri 020263 Binjai,non-clickbait,0
"Halalkan Hubungan Intim di Luar Nikah, Buya Yahya : Sudah Murtad!",clickbait,1
"Sebrangi Selat, Kawanan Babi Hutan Indonesia Invasi Malaysia",non-clickbait,0
"Tarif Ojol Naik Mulai Hari Ini, Silahkan Dicek Skema Barunya!",clickbait,1
"Langkat Heboh!! Balita Disiksa, Digantung Hingga Tewas oleh Ayah Tiri",clickbait,1
"Jatuh dari Motor, Anak Kampung Baru dan Sei Mati Hampir Mati Dimassa Warga",clickbait,1
Tips Mengatur Keuangan Bagi PNS,clickbait,1
Mau Cepat Mati? Sering-sering Merokok Setelah Makan! Begini Hasil Penelitiannya...,clickbait,1
"Setahun Eramas, PDIP : Gubsu Pemimpin Toruble Maker, Bukan Problem Solver",non-clickbait,0
"Bantahan Pihak BPJS Kesehatan : Iuran Tidak Naik, Hanya Disesuaikan",non-clickbait,0
"Mau Ambil Motor yang Ditilang, Zainal Tewas Dikeroyok Polisi",clickbait,1
"Kerja Tak Kenal Waktu, Dokter dan Wartawan Paling Berisiko Bunuh Diri",non-clickbait,0
Istri yang Bunuh Suami dan Anak Tiri Dapat Inspirasi dari Sinetron,clickbait,1
"Dapat Restu Prabowo, DAS Maju di Pilkada Kota Medan 2020",non-clickbait,0
"Pemkab Karo Dukung Wisata Halal di Tongging, ""Ini Demi Kemajuan Pariwisata!""",clickbait,1
"Marinir Turun, Demo Mereda, Mahasiswa : Terima Kasih Sudah Lindungi Kami dari Pak Polisi",non-clickbait,0
"Siap-siap Eaaa, Listrik 900 VA Mau Naik eh... Subsidinya Dicabut",clickbait,1
"Anak dan Istrinya Diteror Warganet, Abdul Azis Lapor Polisi",non-clickbait,0
Wiranto : Kebakaran Hutan dan Lahan Selesai Kalau Hujan Datang,non-clickbait,0
Dahlan Iskan Beberkan Cara Agar Petani Penemu Bibit Unggul Tidak Dipenjara,clickbait,1
Kapoldasu : Demo Mahasiswa di Sumut Ditunggangi DPO Teroris,non-clickbait,0
"Ikut Demo, Anak STM Dimarahi Emak, ""Nggak kasih ampun kalau yang begini!""",clickbait,1
"Atas Perintah Jokowi : Rektor dan Dosen yang Mahasiswanya Demo, Akan Kena Sanksi",non-clickbait,0
Siap-siap! Dukun Santet dan Dukun Pelet Bisa Kena Pidana 3 Tahun,clickbait,1
"Presiden dan DPR Setuju, Melawan saat Penggusuran Bakal Dipenjara dan Denda Rp500 Juta",non-clickbait,0
"Pakai Cadar, Pria Cabul Ini Berhasil Pegang-pegang Jamaah Perempuan",clickbait,1
"Horor! Akibat Karhutla, Langit Memerah, Abu Sisa Kebakaran Beterbangan",clickbait,1
"Warning! Mahasiswa Asal Malaysia Meninggal, USU KLB Difteri",clickbait,1
Makin Panas!!! Ribuan Mahasiswa Hampir Kuasai Gedung DPR/MPR,clickbait,1
"Mahasiswa Tolak Undangan Jokowi, ""Kalau Mau, Jumpa Secara Terbuka, Disiarkan Langsung Media!""",clickbait,1
Viral! Curhat Seorang Istri Polisi yang Anaknya Ikut Demo,clickbait,1
"Naik Motor, Ratusan Pelajar di Medan Ikut Demo, Tonton Nih!",clickbait,1
"Jokowi Ingin Jadwal Pelantikan Dimajukan, Surya Paloh : Jangan Coba-coba!",clickbait,1
"Tingkah Pelajar Medan saat Demo, Bawa G-String Hingga Minta Legalkan Ganja",clickbait,1
"Dianggap Rasis, Google Translate Minta Maaf ke Rakyat Aceh",clickbait,1
"5 Ambulance DKI Disebut Bawa Batu dan Bensin, Ini Jawaban Elegan Anies, Postingan Polda Metro Langsung Dihapus",clickbait,1
"Usia 77 Tahun Mulai Menghafal Quran, Usia 80 Tahun Diwisuda Sebagai Hafizah",clickbait,1
Akhyar : Wali Kota Ditangkap Gara-gara Proposal Minta Bantuan Warga,non-clickbait,0
"Kesaksian Korban Penembakan KKB, ""Suamiku Bersimbah Darah di Bawah Meja Kasir""",clickbait,1
"JK : Sound System Masjid kadang Mengganggu, Akan Dibuat Peraturannya",non-clickbait,0
"Survei Terbaru! 41% Responden Menilai Kinerja Jokowi Baik, Sisanya...",clickbait,1
"SEBARKAN! Kecanduan Hape, Ratusan Anak Masuk Rumah Sakit Jiwa!",clickbait,1
"Kapoldasu Ancam Pelajar yang Ikut Demo, Bakal Nggak Bisa jadi PNS atau Karyawan BUMN",non-clickbait,0
"Dua Saudara Tewas Terjepit Truk di Simalungun, Sempat Menelpon Abangnya",non-clickbait,0
"Gubsu Evakuasi Warga Tapanuli Utara di Papua, ""Seluruhnya Sehat dan Tidak Mengalami Kekerasan""",non-clickbait,0
"Sebut Ekonomi Bakal Meroket, Jokowi Hanya Omong Kosong, Ini Buktinya!",clickbait,1
"Porsea Mencekam! Angin Puting Beliung dari Danau Toba Menerjang, Dua Mobil Berantakan",clickbait,1
"Peneliti Internasional Ungkap Sisi Negatif Medsos Bagi Umat Muslim Indonesia, Cocok Banget!",clickbait,1
"Hari Ketiga, Final Gala Catur Emas Penuh Kejutan",clickbait,1
"Anak STM Masih Ditahan Polisi, Emak emak Gelar Aksi, ""Bebaskan Anak Kami!""",clickbait,1
"Istri Nyinyirin Penikaman Wiranto, Pak Dandim Langsung Dicopot dan Ditahan",clickbait,1
"Gawat Bah!! Kopi Gayo Ditolak di Eropa, Karena Mengandung Racun",clickbait,1
"Kalahkan Master Nasional, Sukarnedi Sabet Gelar Gala catur Emas II 2019",non-clickbait,0
Brutal!!! Geng Motor Serang Perumahan Warga Pakai Sajam dan Panah,clickbait,1
Final Gala Catur Emas Diramaikan 3 Master Internasional,non-clickbait,0
"Gaji Guru Honorer Sangat Minim, Mendikbud : Nikmati Saja, Nanti Masuk Surga",clickbait,1
"Atas Desakan Alumni, UGM Batalkan Kuliah Umum UAS",non-clickbait,0
"Moeldoko Ngaku Tak Bisa Tertibkan Buzzer, Denny Siregar Cs Malah Disebut Rugikan Jokowi",clickbait,1
Warning!!! Nunggak BPJS Kesehatan Bakal Nggak Diakui sebagai Warga Negara Indonesia,clickbait,1
"Gelar Aksi Dukung Jokowi, Targetnya Ribuan Massa, yang Datang Hanya Puluhan",clickbait,1
"Begini Sosok Syahril, Warga asal Medan Deli yang Menusuk Wiranto",clickbait,1
"BPJS Defisit Rp32 Triliun! Wamenkeu : Kita Terlalu Dimanja, Sakit Sedikit Langsung ke RS",clickbait,1
Terpilih Jadi Presiden Hanya Modal Populer dan Dukungan Buzzer,clickbait,1
Sergai Heboh! Polisi dan Istrinya Ditemukan Tewas dengan Luka Tembak di Kepala,clickbait,1
MIS Sabet Juara Umum 2 Kejuaraan Sepatu Roda Piala Wali Kota Pariaman,non-clickbait,0
"PNS Jangan Coba-coba Ngelike Status Penyebar Kebencian, Bakal Disanksi Berat!",clickbait,1
"Aktivis Walhi Sumut Meninggal, Kata Pak Polisi Karena Kecelakaan, Tapi...",clickbait,1
Warning dari Polda Sumut : Penjual Minyak Eceran Bisa Dipidana dan Denda Miliaran Rupiah,clickbait,1
Gawat!!! Titik Api di Sumatera dan Kalimantan Makin Banyak,clickbait,1
"Eldin Kena OTT, ASN Kompak Tutup Mulut, Wawalkot : Saya Tak Tahu",non-clickbait,0
"Nusuk Banget! ""Protes mulu, sudah ngapain aja kamu buat negara ini?""",clickbait,1
"Alamakjangggg!! Wali Kota Medan Kena OTT KPK, Barbuknya Rp200 Juta",clickbait,1
"Sukses Bikin Pencitraan Jokowi di Asean Games, Wishnutama Disebut Dapat Jatah Menteri",clickbait,1
"Bupati Lampung Utara Kena OTT, Warga Potong Kambing Gelar Syukuran",non-clickbait,0
Dahlan Iskan Kupas Tuntas Kapasitas Menteri di Kabinet Indonesia Maju,non-clickbait,0
SAH! Ini Daftar Nama Menteri Kabinet Jokowi - Ma'ruf Amin,clickbait,1
"Tak Terima Ditegur Karena Merokok, Alex Tikam Guru 9 Liang",non-clickbait,0
"Disdukcapil Medan Cetak 250 Ribu e-KTP, ""Ngurus e-KTP Langsung aja Kemari, Gratis!""",clickbait,1
"Uwak-uwak Cabul Ini Nekat Bacoki Polisi saat Akan Ditangkap, Dipermaklah!!!",clickbait,1
"Operasi Zebra Serentak Hingga Bulan Depan, Ini 12 Target Pelanggarannya!",clickbait,1
"Dapat Jatah Wamen, Projo Nggak Jadi Bubar dan Malah Puji Prabowo",clickbait,1
"Seratusan Preman Rusak Masjid di Medan, Polisi : Dugaan Sementara Motifnya Pencurian",non-clickbait,0
"PLN Persembahkan Konser Karena Cinta, Judika dan Andmesh Siap Pukau Penonton",non-clickbait,0
"Panas Ekstrem di Indonesia, Emak-emak Ini Sampai Bisa Masak di Atas Aspal",clickbait,1
"R-APBD Kota Medan Disahkan, Tidak Ada Jalan Berlubang dan Banjir Lagi",non-clickbait,0
"Komunikasi dan Listrik Padam, Jayapura Makin Mencekam, Wanita Ikut Jaga Malam",non-clickbait,0
"Catat! Begini Ciri-ciri Razia Polisi yang Resmi, Jangan Sampek Ketipu!",clickbait,1
"MANTAP! Pelajar Tolong Polisi yang Terbakar, Begini Kisah Lengkapnya",clickbait,1
"Potong Honor Pegawai Hingga 25%, Kepala Puskesmas di Labuhanbatu Kena OTT",non-clickbait,0
"Konflik Papua, 182 Tewas, Anak-anak Makan Rumput, Orang Besar Rebutan Jabatan",clickbait,1
"Niatnya Belajar Anti Korupsi, Ternyata Kantin Kejujuran Banyak yang Bangkrut",non-clickbait,0
"Gagal jadi Paskibraka di Daerah, Koko Diundang Kibarkan Bendera di Mapolres Labuhanbatu",clickbait,1
Pemulung Yatim Piatu Ini Ditemukan Meninggal karena Kelaparan,clickbait,1
"Istri Pakai Handuk di Jalan, Ditarik Suami, Warga Dapat Tontonan Gratis...",clickbait,1
"Berhasil Kembangkan Benih Unggul, Kepala Desa Ini Malah Dipenjara",clickbait,1
BRAKKK!! Innova Ngebut Sorong Truk Lagi Berhenti di Belmera,clickbait,1
"Rotasi Bumi Melambat, Gempa Besar Bakal Semakin Sering Terjadi",non-clickbait,0
Gubernur Sumut : Omong Kosong Kita Bisa Membangun Bila Tidak Sehat,clickbait,1
"Dicaci Maki dan Diancam Bunuh, Anies : Biasa Saja, Kita Harus Terus Kerja",clickbait,1
"Bank Mandiri Error,  Saldo Nasabah Berubah Drastis, Ada yang Bertambah Rp95juta!",clickbait,1
"Sering Lihat Istri Tetangga Nyusui Anak, Jomblo Tua Gak Tahan, Kepingin Mimik Cucu Mama Muda Juga",clickbait,1
Siap-siap!! Pengembang Properti Cina Mau Investasi Besar-besaran,clickbait,1
"444 Plat Merah Milik Kabupaten di Sumut Ini Nunggak Pajak, 24 Diantaranya atas Nama Bupati",clickbait,1
"Jalan Tol Kualatanjung - Tebingtinggi - Parapat Dimulai, Insya Allah 2020 Siap",clickbait,1
Keputusan Menteri BUMN Bikin Krakatau Steel Rugi Trilyunan Rupiah,non-clickbait,0
"Nasdem Dukung Anies Jadi Presiden, PDIP Kaget : Kasian Pak Jokowi...",clickbait,1
"Bocah Lagi Ngaji Diseret Paksa Oknum Polisi, Sudah Minta Ampun Tetap Dihajar",clickbait,1
Anda Pernah Kehilangan Motor? Segera Cek Daftar Dari Polsek Medan Labuhan Ini,clickbait,1
"Bikin Uang Mahar Hias, Bisa Dipidana 5 Tahun Bui dan Denda Rp1 Miliar!!",clickbait,1
"Saat Bank Mandiri Error, Ada 2670 Nasabah yang Transfer 'Keuntungan'",clickbait,1
"Setelah 'Ditanami Saham',  Model Seksi asal Indonesia Ini Ditinggal Kabur Pacar",clickbait,1
Mobil Mewah Tabrak dan Lindas Sepmor di Jalan Ahmad Yani Medan,non-clickbait,0
"Menikmati Eksotisnya Sungai Berdinding Batu Raksasa di Tarean, Sergai",non-clickbait,0
"Terkait Pria Ancam Bunuh Anies dan HRS, Polisi : Belum Ada yang Melaporkan",non-clickbait,0
[Lipsus Gabungan] Terlampau Sadis! Begini Perlakuan Polisi Terhadap Anak-anak yang Ditahan Saat Rusuh di Bawaslu,clickbait,1
"Buntut Aksi 21-22 Mei, Anak-anak yang Ditangkap, Dipukuli dari Kepala Hingga Kaki, Disundut Rokok, Direndam di Kolam",clickbait,1
"Sering Posting di Medsos, Istri Diceraikan Suami, ""Postingannya Foto Payudara Nyembul Semua!""",clickbait,1
Dua Penampakan di Google Maps ini Bikin Warganet Ketakutan,clickbait,1
"Berdasarkan Info dari Kementrian, Polda Aceh Sita 11,8 Ton Bibit Padi Munirwan",non-clickbait,0
