title,label,label_score
Salmafina Sunan Ungkap Sunan Kalijaga Sudah Bisa Terima Perpindahan Keyakinannya,non-clickbait,0
"Dipetisi Karena Bahas Oplas & Pajang Foto Jimin BTS, Ini Kata Satria Mulia",clickbait,1
"Nonton Wimbledon, Meghan Markle Tampil Kasual Kenakan Jeans, Sudah Kembali Langsing!",clickbait,1
"Sukses Jadi Artis, Begini Potret Rumah Mpok Alpa yang Sederhana di Perkampungan",clickbait,1
"Cerita Admin Lambe Turah, Sering Diancam Mau Dibunuh - Penghasilan 500 Juta Sebulan",clickbait,1
Shopee Liga 1 Kembali Bergulir Eksklusif Di Indosiar,non-clickbait,0
"Blak-Blakan, Gisella Anastasia Ungkap Penyebab Cerai dari Gading Marten",clickbait,1
"Sinopsis Drama LIFE Episode 16, Akhir Cerita yang Manis",clickbait,1
"Hadapi Kritik Terhadap Karyanya, Joko Anwar Mengaku Tak Mau Sakit Hati",non-clickbait,0
"Tak Ingin Banyak Dituntut, Dita Soedarjo Ingin Punya Pacar Bule?",clickbait,1
"Penggemar Alami Kecelakan, Taylor Swift Kirim Ucapan Manis",clickbait,1
"Sinopsis Sinetron 'ANAK LANGIT' Episode 1086 & 1087 Tayang Senin, 8 April 2019",non-clickbait,0
"Sinopsis Sinetron 'ANAK LANGIT' Episode 1088 Tayang Selasa, 9 April 2019",non-clickbait,0
"Sinopsis Sinetron 'CINTA SUCI' Episode 306 & 307 Tayang Selasa, 9 April 2019",non-clickbait,0
"Sambut Kelahiran Buah Hati, Husein Alatas Azani Putranya",non-clickbait,0
"Sinopsis Sinetron 'CINTA BUTA' Episode 76 Tayang Selasa, 9 April 2019",non-clickbait,0
"Sinopsis Sinetron 'ORANG KETIGA' Episode 631 Tayang Rabu, 10 April 2019",non-clickbait,0
"Sinopsis Sinetron 'ORANG KETIGA' Episode 630 Tayang Selasa, 9 April 2019",non-clickbait,0
"Sinopsis Drama STILL 17 Episode 22, Kebenaran yang Menyakiti Shin Hye Sun",non-clickbait,0
"Ungkap Kekaguman Pada BTS, Mamamoo Jadi Perbincangan Di Media Sosial",non-clickbait,0
"Sinopsis Sinetron 'ANAK LANGIT' Episode 1089 & 1090 Tayang Rabu, 10 April 2019",non-clickbait,0
"Berkarir di Australia, Artis 90-an Multitalenta Ini Siapkan Banyak Judul Film",clickbait,1
"Anak Domba, Panggilan Baru dari Ibu Buat Salmafina Sunan",non-clickbait,0
"Sinopsis '100 DAYS MY PRINCE' Episode 1, Lee Yool bertemu dengan Yoon Yi Seo",non-clickbait,0
"Sinopsis '100 DAYS MY PRINCE' Episode 4, Won Deuk Pingsan Usai Hong Sim Marah",non-clickbait,0
"Dimabuk Cinta, Reino Barack Genggam Erat Tangan Syahrini Saat di Dalam Mobil",non-clickbait,0
"Adaptasi dari Filipina, It's ShowTime Indonesia Hadirkan Raffi & Luna Maya",non-clickbait,0
Live Action 'DORA THE EXPLORER' Hadirkan Petualangan Ekstrim Dora di Kota yang Hilang,non-clickbait,0
"Sangat Suportif, Monita Tahalea Makin Jatuh Hati Dengan Suami",clickbait,1
"Lama Tiada Kabar, Bubu Mantan Kekasih Syahrini Kunjungi Aisyahrani dan Keluarga",non-clickbait,0
"Hamil Anak Kedua, Yasmin Wildblood Beri Pengertian Pada Si Sulung",non-clickbait,0
"Tak Kunjung Lepas, Tasya Kamila Terpaksa Potong Cincin Pernikahannya",non-clickbait,0
"Rilis Poster 'SI DOEL THE MOVIE 2', Rano Karno Akui Produksi di Indonesia Lebih Mahal",non-clickbait,0
"Sukses Besar, 'US' Kantongi Pendapatan Hampir Rp 1 Triliun",non-clickbait,0
"Pernah Main Web Drama Bareng, Interaksi Sehun EXO dan Mina Gugudan Bikin Fans Gemas",clickbait,1
"Sinopsis '100 DAYS MY PRINCE' Episode 2, Kim So Hye Hamil dan Lee Yool Lupa Ingatan",non-clickbait,0
Foto Lengkap Syahrini dan Reino Barack Sebelum Menikah Hingga Rilis Single,non-clickbait,0
