title,label,label_score
"Lelang Proyek Jakarta International Stadium Diprotes, Apa Kata Kementerian PUPR?",clickbait,1
"Gojek Resmi Beroperasi di Bandara Soekarno-Hatta, Begini Cara Pesannya",clickbait,1
Menteri Susi Minta BNPT Ikut Awasi Peredaran Bom Ikan,non-clickbait,0
Menperin: Esemka Pakai 62 Persen Komponen Dalam Negeri,non-clickbait,0
Seleksi CPNS 2019 Bakal Diumumkan Paling Cepat Akhir September,non-clickbait,0
Pelamar CPNS 2019 untuk 6 Jabatan Ini Bisa Berusia Maksimal 40 Tahun,clickbait,1
62 Pelaku Ekonomi Kreatif Dapat Bantuan Modal dari Bekraf,non-clickbait,0
"Rupiah Stabil, Namun Potensi Pelemahan Terbuka Lebar",non-clickbait,0
Menteri PANRB Dorong Universitas Cetak Lulusan Berkompetensi Global,non-clickbait,0
Kementerian ESDM Minta Penjual Gas Bumi Tak Pasang Tarif Mahal,clickbait,1
"Masih Bingung, Siapa Saja yang Harus Bayar Pajak?",clickbait,1
"IHSG Diramal Bergerak ke Zona Hijau, Simak Saham Pilihan Berikut",clickbait,1
Harga Emas Antam Turun Jadi Rp 754 Ribu per Gram,non-clickbait,0
Harga Emas Jatuh ke Level Terendah dalam 2 Pekan,non-clickbait,0
Menteri Susi Curiga Manuver 13 Kapal Pengawas Vietnam di Natuna Utara,non-clickbait,0
PODCAST: Iuran BPJS Kesehatan Naik 100 Persen,non-clickbait,0
"IHSG Dibuka Menghijau ke 6.337, Sektor Aneka Industri Pimpin Penguatan",non-clickbait,0
Kementan Minta Lahan Serasi Juga Diasuransikan,non-clickbait,0
Kementerian PUPR Salurkan Air Bersih ke 4.200 Warga Gunung Kidul,non-clickbait,0
"Usai Esemka, Bagaimana Arah Pengembangan Mobil Nasional ke Depan?",clickbait,1
PLN Luncurkan Program Magang untuk 46 Perguruan Tinggi,non-clickbait,0
Menperin Jelaskan Penyebab Esemka Mirip Mobil China,non-clickbait,0
Menteri Rini Tunjuk Seger Budiarjo Jadi Plt Direktur Utama PTPN III,non-clickbait,0
"Perkuat Riset di Sektor Perikanan, Menteri Susi Gandeng LIPI",non-clickbait,0
Peserta Magang Dapat 'Karpet Merah' jadi Pegawai PLN,clickbait,1
"Diserbu Tekstil Impor, Pengusaha Minta Perlindungan ke Kemenperin",clickbait,1
Menteri Susi: Soal Pangan Bisa Timbukan Konflik dengan Negara Tetangga,clickbait,1
INDEF: Industri Tembakau Alternatif Perlu Dapat Insentif,clickbait,1
Edukasi Finansial Bikin Masyarakat Pintar Atur Investasi Keuangan,non-clickbait,0
"Dapat Dana Bantuan Bekraf, Start Up Wajib Lapor Kondisi Keuangan",non-clickbait,0
Pemerintah Target Bangun 1.500 Km Jalan Tol dalam 5 Tahun ke Depan,non-clickbait,0
Proyek Tol Layang Jakarta-Cikampek II Target Rampung Akhir September,non-clickbait,0
Grab Siap Dukung Pengembangan Mobil Listrik di Indonesia,non-clickbait,0
Kemenhub Larang Truk Kelebihan Muatan Melintasi Jalan Tol di 2020,non-clickbait,0
"Clustering, Jurus BRI Berdayakan Nasabah Ultra Mikro",clickbait,1
"Grab Bakal Pakai Kendaraan Listrik, Apa Untungnya bagi Mitra Pengemudi?",clickbait,1
Pekerja Asing Bantu Penuhi Kebutuhan Tenaga Kerja di Sektor Konstruksi,non-clickbait,0
"IHSG Ditutup Menguat, Rupiah di Posisi 14.050 Per Dolar AS",non-clickbait,0
"Beri Perlindungan ke Milenial, Great Eastern Life Luncurkan Produk Baru",clickbait,1
KSPI Tolak Perluasan Jenis Pekerjaan untuk Tenaga Kerja Asing,non-clickbait,0
Grab: Tak Mudah Gunakan Mobil Listrik untuk Angkutan Online,clickbait,1
LIPI Bakal Kembangkan 10 Kapal Riset Nasional,non-clickbait,0
PLN Gandeng TNI Tingkatkan Keandalan Listrik,non-clickbait,0
Ini Rincian Skema Biaya Pembangunan Ibu Kota Baru,clickbait,1
Kemenhub Ingin Taksi Online Beroperasi di Semua Bandara,non-clickbait,0
PLN Serahkan Penyelidikan Penyebab Pemadaman Listrik ke Bareskrim,non-clickbait,0
Penyuluh Butuh Pelatihan Untuk Tingkatkan Orientasi Daya Saing,non-clickbait,0
Kemenhub: Denda Truk Kelebihan Muatan Terlalu Kecil,non-clickbait,0
"Cegah Pemadaman Listrik Terulang, PLN Studi Banding ke London",non-clickbait,0
Kementan Gelar FGD Sistem Penyuluhan Pertanian untuk Hadapi Era Industri 4.0,non-clickbait,0
Bappenas Beberkan Dampak Ekonomi Pemindahan Ibu Kota RI,clickbait,1
PTPP Garap Proyek PLTU di NTT dan Sulawesi Utara,non-clickbait,0
Start Up Teknologi Dapat Dana Hibah Paling Banyak dari Pemerintah,non-clickbait,0
Pencabutan Subsidi Listrik Tunggu Pengesahan APBN 2020,non-clickbait,0
"Kemenhub Anggarkan Rp 2,9 Triliun Kembangkan 5 Destinasi Prioritas",non-clickbait,0
"Bandara Kertajati Mulai Ramai, Pertamina Siap Penuhi Konsumsi Avtur",non-clickbait,0
"Wujudkan Ketahanan Pangan, Kementan Terus Kawal Penyaluran Pupuk Bersubsidi",non-clickbait,0
"Jokowi Mau Bangun Istana Negara di Papua, Ini Kata Bappenas",clickbait,1
"Soal Penetapan Tarif Listrik, PLN Serahkan Kepada Pemerintah",non-clickbait,0
Program Pembangkit Listrik 35 Ribu MW Baru Beroperasi 11 Persen,non-clickbait,0
"Gempa Magnitudo 3,4 Guncang Palu",non-clickbait,0
"Sidang Kivlan Zen Ditunda 2 Pekan, Pengacara: Bekas Luka Granat di Kakinya Jadi Penyakit",non-clickbait,0
Pimpinan DPR Setuju Jokowi Bangun Istana di Papua,non-clickbait,0
"Pertemuan Nasional Legislatif, Demokrat Putar Dokumenter Pencapaian SBY",non-clickbait,0
Fahri Hamzah Heran Capim KPK Harus Teken Kontrak Politik dengan Komisi III,clickbait,1
Keluarga Sengaja Masukkan BJ Habibie ke ICU Agar Istirahat,non-clickbait,0
Menkumham: Pencabutan Paspor Veronica Koman Sudah Sesuai Undang-Undang,non-clickbait,0
175 Orang dan 4 Korporasi Jadi Tersangka Karhutla,non-clickbait,0
Sandiaga Uno Akan Kembali Gabung dengan Gerindra?,clickbait,1
DPR Rapat Soal Capim KPK dengan Masyarakat Sipil Tanpa ICW,non-clickbait,0
Keluarga: BJ Habibie Punya Masalah Jantung Sejak Muda,non-clickbait,0
