title,label,label_score
Ini Penyebab Jamaah Tertipu Penggunaan Visa Non-Haji,clickbait,1
"Balita di Bogor Tewas dengan Luka Lebam, Ibu Tiri Ditetapkan Tersangka",non-clickbait,0
"Demi Keadilan, Pria Ini Habiskan Rp526 Juta Lawan Denda Tilang Rp1 Juta",clickbait,1
Claudia Emanuela Santoso Harumkan Indonesia di The Voice of Germany,non-clickbait,0
"Kalah Saing di Monza, Bottas Akui Ketangguhan Leclerc  ",non-clickbait,0
AFC Solidarity Cup Jadi Jalur Alternatif Timnas Indonesia ke Piala Asia 2023,non-clickbait,0
"Bertitel Edisi Khusus, Vespa Sprint Carbon Dibanderol Rp49,8 juta",non-clickbait,0
"Finis Ke-11 di MotoGP San Marino, Zarco Cukup Puas",non-clickbait,0
Rodgers Akui Kesulitan Jaga Maddison dari Kejaran Man United,non-clickbait,0
Titi DJ Borong Peserta Blind Audition The Voice Indonesia di Episode 6,clickbait,1
"Sukses di ,, Riri Muha Hadirkan Lagu ",clickbait,1
"Memopulerkan Fesyen Ramah Lingkungan untuk Pria, Bakal Jadi Tren , Ya?   ",clickbait,1
"Koleksi Mobil Menpora Imam Nahrawi, Termurah Rp100 juta",clickbait,1
3 Mobil Listrik Ciptaan Mahasiswa UMS Siap Bertarung di KMHE 2019,non-clickbait,0
"Lolos ke Babak Kedua, Rinov/Pitha Ingin Lebih Jaga Fokus",clickbait,1
"BPK Temukan Pemborosan Rp275,19 Miliar oleh PLN",non-clickbait,0
"Asyik Joget, Nikita Mirzani Tepergok Tak Kenakan ",clickbait,1
"Kemenhub Dapat Tambahan Anggaran Rp441,5 Miliar di 2020, Ini Rinciannya",clickbait,1
"Mane dan Salah Cetak Gol, Liverpool Tumpas Newcastle 3-1",non-clickbait,0
"Tiga Setia Gara Alami KDRT di AS, Pemerintah Beri Bantuan Hukum",non-clickbait,0
"Bangun Budaya Tertib Berlalu Lintas, Korlantas Polri Datangi Mal",non-clickbait,0
"Jokowi Tinjau Penanganan Karhutla Riau, Wali Kota Pekanbaru Malah ke Kanada",clickbait,1
 Mayat Pria Ditemukan di Sorong Penuh Luka Tusuk   ,non-clickbait,0
"Aktivis HAM HS Dillon Meninggal, KPK Sampaikan Belasungkawa",clickbait,1
Jokowi: Jangan Sampai Karhutla Ganggu Penerbangan,non-clickbait,0
"Minimalisir Uji Kir Palsu, Pemprov DKI Luncurkan Simpel PKB",non-clickbait,0
Uu Ajak Konsultan untuk Akselerasi Pembangunan Jawa Barat,non-clickbait,0
Indonesia Beri Prioritas Impor Beras hingga Daging Kerbau dari India,non-clickbait,0
Menpar Arief Yahya Pastikan Pulau Komodo Batal Ditutup   ,non-clickbait,0
"Irjen Firli Bahuri Terpilih Jadi Ketua KPK, DPR: Dia Harus Berhenti dari Polisi ",non-clickbait,0
"Punya Gigi Gingsul, Bahaya atau Tidak?",clickbait,1
Komisi IV DPR Dukung RUU Sistem Budidaya,non-clickbait,0
Antasari Azhar Anggap Pimpinan KPK Tidak Dewasa,non-clickbait,0
 Bea Cukai Rangkul Akuntan Indonesia Tangani Proses Bisnis Lintas Negara,non-clickbait,0
Revisi UU Dinilai untuk Sempurnakan dan Kuatkan KPK,non-clickbait,0
Bea Cukai dan KLHK Kembalikan Limbah Plastik Bercampur Limbah Beracun ke Negara Asal,non-clickbait,0
"Heboh Ajakan Pancing Hujan dengan Baskom Air Garam, Ini Penjelasan BMKG",clickbait,1
" Pendarahan, Lucinta Luna Kaget Dengar Hasil USG",clickbait,1
Leclerc Antusias Sambut F1 GP Singapura 2019,non-clickbait,0
"Karhutla Riau, Wiranto : Tak Separah Seperti yang Diberitakan",non-clickbait,0
"Miris, Anak di Bawah Umur Ikut Demo Dukung Revisi UU KPK",clickbait,1
"Warna Rambut , Lagi Hits di Instagram, Coba Yuk!",clickbait,1
"Unggah Foto Lidah Panjang di Media Sosial, Selebgram Ini Dibayar Rp42 Juta per-Konten",clickbait,1
Menpora Imam Nahrawi Mangkir 3 Kali Sebelum Jadi Tersangka,non-clickbait,0
"Menteri Basuki Usul Anggaran Rumah Subsidi Ditambah Rp1,5 Triliun",non-clickbait,0
"Touring 12 Negara, Mobil Listrik Bikinan Tiongkok Pecahkan Rekor Dunia",non-clickbait,0
Timnas Indonesia U-16 Unggul Telak 6-1 atas Mariana Utara di Babak Pertama,non-clickbait,0
Young Scientist Competition 2019 untuk Tingkatkan Literasi dan Bangun Karakter Generasi Muda,non-clickbait,0
Pencarian Pesawat Twin Otter yang Hilang Kontak di Papua Dilanjutkan Besok,non-clickbait,0
Kisah Mahasiswa Tunarungu UGM yang Berhasil Selesaikan Kuliahnya,non-clickbait,0
"Atasi Kabut Asap, Operasi Teknologi Modifikasi Cuaca Diperluas ke Kalimantan",non-clickbait,0
"Ini Isi Peternakan Mewah Milik Raja Minyak Pickens Seharga Rp3,5 Triliun",clickbait,1
Mantan Wali Kota Cimahi Itoc Tochija Meninggal Dunia ,non-clickbait,0
"Bersama Band Arah, Tanta Ginting Hadirkan Single Kedua",non-clickbait,0
"Jumpa Juventus, Pelatih Fiorentina , Tuai Hasil Manis",non-clickbait,0
"KPK Serahkan Mandat ke Jokowi, Antasari: Jangan Lari dari Tanggung Jawab",non-clickbait,0
"4 Jenis Air dalam Islam, Tak Semua Bisa untuk Bersuci",clickbait,1
"Lagi, Massa Pendukung Revisi UU Demo di Gedung KPK",non-clickbait,0
"Rizki/Della Menuju Final Vietnam Open 2019, Anggia/Pia Gugur",non-clickbait,0
Inter Siap Terkam Milan di ,clickbait,1
3 Artis yang Melepas Hijab sehingga Menimbulkan Kontroversi,clickbait,1
"5 Potret Kedekatan Mayangsari dengan Putri Semata Wayang, Mirip Anak Kembar!   ",clickbait,1
