title,label,label_score
Krisis Air Bersih di Lebak Meluas Hingga 16 Kecamatan,non-clickbait,0
Disbudpar Kota Malang Panggil Manajemen Museum Bentoel ,non-clickbait,0
Puskeshaji Layani 471.946 Kunjungan Jamaah Haji ,non-clickbait,0
Bottas tak Menyerah Incar Gelar Juara F1,non-clickbait,0
"Capim KPK, Calon Komisioner yang Wajib Teken Kontrak Politik",non-clickbait,0
"Tumbangkan Serbia, Argentina Ke Semi Final FIBA Wold Cup",non-clickbait,0
Puisi Zaman Batu Diabadikan dalam Nisan Kota Kuno Turki ,non-clickbait,0
Denda Paksa Pelanggar K3 di Kota Bandung ,non-clickbait,0
Api Jahanam dan Para Pemakan Harta Anak Yatim,clickbait,1
Anggaran Buat DPR Bertambah Rp 833 Miliar,non-clickbait,0
"Mirip Ojek Daring, Persaingan E-Commerce Kurang Sehat",clickbait,1
"Hadapi Era Digital, OJK Gandeng Otoritas Keuangan Korsel",non-clickbait,0
Lentera Anak Puji Audisi di Purwokerto tanpa Citra Djarum,non-clickbait,0
KPK Cegah Ketua Fraksi Golkar,non-clickbait,0
Seorang Guru di Pekanbaru Kolaps Akibat Asap,non-clickbait,0
Thareq Habibie: Kesehatan Bapak Mulai Stabil ,non-clickbait,0
Kominfo: Terlalu Cepat Lompat ke Digital Picu Maraknya Hoaks,non-clickbait,0
Nama Umar Khayyam Abadi di Luar Angkasa,clickbait,1
Desa Rohingya di Myanmar Dihancurkan untuk Gedung Pemerintah,non-clickbait,0
MPR: Haluan Negara Berbeda dengan GBHN Orde Baru,non-clickbait,0
"Dagestan, Pegunungan Terpencil Penghasil Petarung MMA",non-clickbait,0
Organda Minta Angkutan Umum Direvitalisasi,non-clickbait,0
JK Sebut Surpres Revisi UU KPK akan Dikirim ke DPR,non-clickbait,0
"Kuliah tak Diliburkan, Mahasiswa Riau Jadi Korban Kabut Asap",non-clickbait,0
Keluarga tak Berencana Bawa Habibie Berobat ke Luar Negeri,non-clickbait,0
Wapres JK Jenguk Habibie di RSPAD,non-clickbait,0
