title,label,label_score
Trase LRT Jabodebek Diusulkan Diperpanjang hingga ke Puncak,non-clickbait,0
"Aburizal ke Bamsoet: Kalau Golkar Pecah, Orang Lain Tepuk Tangan",non-clickbait,0
China Open 2019: Kevin / Marcus Singkirkan Ganda Jepang,non-clickbait,0
"Cegah Pemalsuan, Dishub DKI Ganti Buku Uji KIR Jadi Kartu",non-clickbait,0
Wings Air Siap Terbangi Manado-Morotai Tiga Kali Sepekan,non-clickbait,0
China Open 2019: Jonatan Christie Digusur Shesar Hiren Rhustavito,non-clickbait,0
KRL Lintas Jatinegara-Cawang Normal Lagi Usai Gangguan Listrik,non-clickbait,0
"Aksi Pemakaman KPK, Puisi Bunga dan Tembok Widji Thukul Menggema",non-clickbait,0
Koalisi Masyarakat Sipil Gelar Aksi Simbolik Pemakaman KPK,non-clickbait,0
"Tips Belanja Online Sissy Priscillia, Teliti Sebelum Membeli",clickbait,1
Ini Tiga Sikap Jokowi Soal Revisi UU KPK,clickbait,1
BJ Habibie Meninggal Jadi Pemberitaan Media Asing,clickbait,1
LPS Ingatkan Resiko Bunga Bank Tinggi kepada Nasabah,non-clickbait,0
Bursa Transfer: Real Madrid dan Barcelona Berebut Virgil Van Dijk,non-clickbait,0
"Jakarta Culinary Feastival: Ada Chef Arnold, Gibran dan Kaesang",non-clickbait,0
Fitra Duga Ada Duopoli Pengadaan Obat untuk Pengidap HIV/AIDS,clickbait,1
China Open 2019: Kevin/Marcus dan Fajar/Rian ke Perempat Final,non-clickbait,0
"Batuk Berdahak 2 Minggu, Awas TBC",clickbait,1
Sri Mulyani Pelajari Usulan Penghapusan Pajak Tanah Progresif,non-clickbait,0
Bank Mandiri Bidik Salurkan Kredit Agrikultur Rp 100 M Via Crowde,non-clickbait,0
"Demonstrasi Mahasiswa, Jalan Gatot Subroto Depan DPR Ditutup",non-clickbait,0
KPAI Dorong Belajar Metode Daring untuk Anak Korban Kabut Asap,non-clickbait,0
"Kriteria Menteri Jokowi, Buya Syafii: Jangan yang Bikin Kacau",clickbait,1
Pemilu Israel: Netanyahu Akhiri Kekuasaanya Setelah Satu Dekade,non-clickbait,0
"Mata Uang Asia Loyo, Rupiah Melemah 19 Poin",non-clickbait,0
"3 Hari Setelah Berhenti Merokok, Indera Penciuman Bisa Meningkat",clickbait,1
"Lahan Ibu Kota Baru Punya Sukanto Tanoto, Sofyan: Bisa Dikoreksi",clickbait,1
China Open 2019: Tommy Sugiarto Dihentikan Momota di Babak Kedua,non-clickbait,0
Pembongkaran Pembakaran Arang di Cilincing Diprotes Pemilik,non-clickbait,0
"Timnas U-16 Indonesia Vs Brunei, Bima Sakti Kembali Rotasi Pemain",non-clickbait,0
"Kontak Tembak di Ilaga Papua, Seorang Balita Tewas",non-clickbait,0
Pengesahan Revisi UU KPK Dinilai Berdampak Langsung pada Ekonomi,non-clickbait,0
WIMA Ina Tolak Revisi UU Pelayaran Utak-atik Azas Cabotage,non-clickbait,0
"Jambu Biji Tak Hanya untuk Demam Berdarah, Cek Manfaat Lainnya",clickbait,1
"Setelah Revisi UU KPK, Laode Syarif: Karyawan KPK Muram",non-clickbait,0
"Yuzu Tart, Kue Tar Mini yang Rasa Asamnya Memikat",clickbait,1
PT Aneka Tambang Dapat Suntikan US$ 129 Juta dari Bank Mandiri,non-clickbait,0
"PSS Sleman vs Persipura, Jacksen Tak Ingin Tren Kemenangan Mandek",non-clickbait,0
