title,source,date,time,category,sub-category,content,url
"Anak Penjaga Kebersihan Masjid Lantamal 1 Belawan Lulus TNI, Hafal Quran dan Punya Suara Merdu",posmetro-medan.com,"Oktober 19, 2019",-,Berita Viral,-,",,,Setelah dihebohkan dengan kemunculan calon taruna Enzo Zenz yang mahir berbahasa Prancis dan hafal Quran, kini TNI Angkatat Laut merekrut anak penjaga kebersihan Masjid Lantamal 1 Belawan.,,Pria bernama Jumanto itu bahkan membuat perwira TNI AL takjub, sebab ia dapat menghafal ayat Alquran dan melantunkannya dengan irama bayyati kurdi.,,Dalam video berdurasi 51 detik tersebut, Jumanto bersikap tegap sambil melantunkan Surat Ar-Rahman ayat 8 hingga seterusnya. Sedangkan perwira di hadapannya merekam aksi luar biasa taruna itu. Lalu berapa nilai untuknya ketika membaca ayat tersebut?,,""Kalau diminta kasih nilai (kepada taruna TNI AL itu), aku kasih nilai seperti ini; Tajwid 90, Makhorijul huruf 85, Irama 90. Pada prinsipnya semua sudah baik. Tinggal dilatih lebih rajin, terutama soal konsistensi dalam makhorijul huruf dan sifat,"" ujar Ketua Ikatan Sarjana Quran Hadis Indonesia Ustadz Fauzan kepada Okezone, Kamis (17/10/2019).,,,loading...",https://www.posmetro-medan.com/2019/10/anak-penjaga-kebersihan-masjid-lantamal.html
Wakil Menkeu : Kenaikan Iuran BPJS Tidak Akan Berpengaruh pada Penduduk Miskin,posmetro-medan.com,"Oktober 07, 2019",-,nasional,-,",,,Jelang akhir tahun kabar  kenaikan tarif iuran Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan bagi peserta program Program Jaminan Kesehatan Nasional-Kartu Indonesia Sehat (JKN-KIS). Seperti diketahui, kenaikan tarif ini rencananya akan berlaku mulai awal tahun 2020.,,Direktur Utama BPJS Kesehatan Fachmi Idris, mengatakan bahwa kenaikan tarif ini merupakan salah satu siasat untuk mengatasi defisit BPJS Kesehatan dari tahun ke tahun. Seperti diketahui, Dewan Jaminan Sosial Nasional (DJSN) mengusulkan kenaikan iuran kelas I Rp120 ribu, kelas II sebesar Rp75 ribu, sedangkan kelas III Rp42 ribu.,,Sementara untuk rincian kenaikan yang diusulkan oleh Menteri Keuangan yakni Kelas I naik dari Rp80 ribu menjadi Rp160 ribu, kelas II dari Rp51 ribu menjadi Rp110 ribu dan kelas III menjadi Rp42 ribu dari Rp30 ribu.  Besaran ini naik dua kali lipat dari tarif sebelumnya.,,,Meski demikian, Wakil Menteri Keuangan Prof. Dr. Mardiasmo, mengatakan bahwa bahwa penyesuaian atau kenaikan tarif ini tidak akan membebani masyarakat miskin atau tidak mampu.,,""luran BPIS untuk 134 juta ilwa penduduk tidak mampu dibayarkan oleh APBN dan APBD. Kenaikan iuran ini tidak akan memengaruhi penduduk tidak mampu,"" ungkap Mardiasmo saat  Forum Merdeka Barat (FMB) 9 dengan tema 'Tarif luran BPJS', Senin, 7 Oktober 2019.,,Ia menjelaskan saat ini sebanyak 96.6 juta penduduk tidak mampu iurannya dibayar oleh Pemerincah Pusat (APBN). Sementara itu 37,3 juta jiwa iurannya dibayarkan oleh Pemda (APBD).,,,Di sisi lain, Pemerintah Daerah juga memegang peranan penting untuk mengawal keberlanjutan Program JKN - KIS, termasuk memastikan kebijakan pemerintah pusat soal penyesuaian iuran ini nantinya dapat terimplementasikan dengan baik di masing-masing wilayah.,,,loading...",https://www.posmetro-medan.com/2019/10/wakil-menkeu-kenaikan-iuran-bpjs-tidak.html
"Miliki Reputasi Kualitas Dunia, Powerbank G-Power Diluncurkan di Indonesia",posmetro-medan.com,"Oktober 08, 2019",-,Teknologi,-,",,,,,,,,,,,,,,,loading...",https://www.posmetro-medan.com/2019/10/miliki-reputasi-kualitas-dunia.html
"Pendukung Jokowi Ngaku Diculik di Masjid, Ini Bantahan Pihak DKM",posmetro-medan.com,"Oktober 07, 2019",-,nasional,-,",,,Pengurus Dewan Kemakmuran Masjid (DKM) Al-Falaah meminta Ninoy Karundeng untuk duduk bersama membuktikan pernyataannya saat melaporkan ke polisi bahwa telah diculik dan dianiaya pada hari terjadinya kerusuhan demonstrasi di kawasan DPR RI, Senin, 30 September 2019.,,Dua pengurus DKM Al-Falaah, Iskandar dan Sasmito, mengungkapkan bahwa pada hari itu, Ninoy Karundeng memang diamuk masa usai memotret kondisi demonstran yang sedang memadati jalanan depan masjid yang berlokasi di Pejompongan, Tanah Abang, Jakarta Pusat tersebut.,,Namun, Sasmito menegaskan bahwa lebam dan bonyoknya muka Ninoy terjadi karena amukan masa. Khawatir amukan bisa berujung pada kematian, pengurus masjid, katan Sasmita, langsung berusaha memasukkan Ninoy ke ruangan bawah masjid supaya bisa di urus paramedis yang saat itu sedang menggunakan ruangan tersebut.,,""Sebenarnya gini, kalau wawancara sepihak gini menurut saya kurang adil. Kalau mau bawa Ninoy kesini kita obrolkan di sini itu lebih mediasi. Kan ada yang nulis ini disekap, diculik, mana yang namanya disekap, diculik,"" tegas dia saat ditemui di Masjid Al-Falaah, Sabtu, 5 Oktober 2019.,,Sementara itu, Iskandar mengatakan, usai diamankan dan di rawat, saat pulang Ninoy diberikan baju ganti untuk pulang. Kepulangannya pun diantar oleh demonstran berikut dengan motor yang dia gunakan saat ke lokasi juga langsung di antar ke rumahnya.,,""Contohnya waktu dia sudah pulang dia kan dikasih baju, salam-salaman dia, minta terima kasih. Coba, motor dan orangnya dipesenin Go Box sampai rumahnya. Sampai dikawal juga sama motor supaya aman,"" tutur Iskandar menimpali.,,Keduanya menyesali kejadiaan itu disebut-sebut sebagai tindakan penculikan dan penganiayaan. Padahal kata dia, saat itu pihak DKM bersama tim medis berusaha menyelamatkannya dari amukan massa yang tidak terima di foto saat istirahat akibat cidera maupun sesak gas air mata yang ditembakkan polisi.,,""Ketahuan lagi orang Jokowi. Ya sudah beringas massa. Jadi awalnya itu enggak ada apa-apa, aman disini aja. Disini cuman membantu bagi mereka yang cidera berat dan butuh istirahat. Makanya, kami minta tolong diluruskan agar masjid kami tak menjadi kambing hitam dari persoalan ini,"" ujar Sasmito.,,Terkait video yang beredar, Iskandar dan Sasmito sama-sama tidak mengetahui waktu pembuatannya dan orang yang merekam. Yang mereka bisa pastikan, hari itu Ninoy hanya semalam diamankan di ruangan bawah masjid bersama dengan para demonstran lain yang menjadi korban kerusuhan demonstrasi.,,""Yang saya sesalkan itu kenapa dia dikatakan diculik, disekap. Kalau diculik itu kita bawa di satu tempat, terus kita kunci itu namanya diculik dan disekap. Wong ini duduk disitu ada dokter ada tim medis, kan penuh orang disini,"" tutur Sasmito. [vvn],,,loading...",https://www.posmetro-medan.com/2019/10/pendukung-jokowi-ngaku-diculik-di.html
"Sebentar Lagi, Minyak Curah Dilarang, Warga Harus Beli Minyak Kemasan",posmetro-medan.com,"Oktober 07, 2019",-,Berita Utama,-,",,,Menteri Perdagangan Enggartiasto Lukita melarang peredaran minyak curah di pasar masyarakat mulai 1 Januari 2020. Sebagai gantinya minyak curah wajib menggunakan kemasan.,,""Per tanggal 1 Januari 2020, seluruh produsen wajib menjual atau memproduksi minyak goreng dalam kemasan dengan harga yang sudah ditetapkan pemerintah dan dia tidak lagi suplai minyak goreng curah,"" ungkap Enggar di kawasan Sarinah, Jakarta, Minggu (6/10).,,Kebijakan ini tidak dilakukan dengan masa transisi, artinya tidak ada masa uji coba untuk kurun waktu tertentu. Ia mengatakan kebijakan ini sejatinya bisa dijalankan karena pemerintah sudah memegang komitmen dari para pengusaha dari berbagai asosiasi.,,Pemerintah juga sudah melakukan sosialisasi kepada distributor minyak curah dan masyarakat sebagai pengguna. Salah satunya dengan mengadakan bazar kementerian yang menjual minyak goreng dalam kemasan di bawah Harga Eceran Tertinggi (HET) Rp11 ribu per kilogram, yakni hanya Rp8.000 per kg.,,,Menurut Enggar, peredaran minyak curah di pasar dan penggunaan di masyarakat sangat berbahaya. Sebab, kualitas minyak tidak bisa dipertanggungjawabkan karena tidak melewati pengawasan Badan Pengawas Obat dan Makanan (BPOM).,,Saat ini, masyarakat memang masih kerap menggunakan minyak curah dalam pemenuhan kebutuhan pangan sehari-hari, khususnya masyarakat kelas bawah dan pedagang kaki lima. Data Kementerian Perdagangan mencatat setidaknya total produksi minyak goreng di dalam negeri mencapai 14 juta ton per tahun.,,Dari jumlah itu, hanya 5,1 juta ton yang dipasarkan ke dalam negeri alias digunakan oleh masyarakat. Sisanya, diekspor ke luar negeri. Namun, dari 5,1 juta ton itu, hampir 50 persennya diantaranya merupakan minyak goreng curah.,,Minyak curah sendiri merupakan minyak bekas pakai, seperti restoran dan warung makan besar yang kemudian dijual kepada pengumpul.,,Minyak tersebut kemudian didistribusikan lagi ke pedagang pasar dalam volume grosir untuk kemudian dijual secara eceran. Biasanya, minyak curah hanya dikemas menggunakan plastik biasa.,,""Minyak goreng curah tidak ada jaminan kesehatan sama sekali. Itu minyak bekas, bahkan ambil dari selokan dan sebagainya,"" ujarnya.,,Tak hanya soal kesehatan, menurut Enggar, penggunaan minyak curah sejatinya merugikan masyarakat. Sebab, volume minyak dalam plastik sederhana sebenarnya kerap berkurang dari ketentuan penjualan.,,Misalnya, minyak curah dijual dengan takaran volume 1 kg, tapi pedagang hanya memasukkan minyak goreng setara 0,9 kg di kemasan plastik atas minyak yang dipasarkannya ke masyarakat. Artinya, ada kecurangan dalam penjualan.,,Kemudian, menurutnya, penggunaan minyak curah perlu ditinggalkan oleh masyarakat sebagai bentuk dukungan dari jaminan kualitas produk turunan minyak sawit mentah (Crude Palm Oils/CPO).,,""Pemenuhan kebutuhan ini diharapkan dapat menangkal kampanye negatif produk CPO Indonesia dan pada saat yang bersamaan dapat meningkatkan kecintaan masyarakat akan produksi negeri sendiri,"" ucapnya.,,Enggar mengatakan bila ada pengusaha yang masih ingin menjual minyak curah, mereka wajib melakukan proses penyulingan ulang terhadap minyak tersebut. Mesin penyulingan, katanya, sebenarnya dijual di pasar, sehingga sangat mungkin untuk digunakan.,,Selain itu, ia juga menyarankan agar minyak curah tersebut tetap diawasi oleh BPOM. Dengan begitu, sambungnya, kesehatan masyarakat tetap terjamin.,,""Jadi minyak di masukan ke dalam satu tempat, kemudian diisi ke botolnya dan dibayar. Itu bagus. Jadi hanya dengan itulah kita ke depan berupaya untuk menjaga kesehatan masyarakat dan harganya bisa dikontrol,"" terangnya.,,Kendati begitu, Enggar belum bisa meramal seperti apa dampak lebih jauh dari kebijakan ini. Misalnya, apakah akan menekan tingkat daya beli masyarakat kalangan bawah yang kerap menggantungkan pemenuhan kebutuhan pangan dengan minyak curah.,,Begitu pula dengan kelangsungan bisnis minyak curah yang dilakoni segelintir pengusaha saat ini. ""Ya saat ini ada banyak (pengusaha minyak curah), tapi kan selama ini tidak bisa diukur,"" katanya.,,Lebih lanjut, Enggar mengaku belum menyiapkan sanksi khusus bila peredaran minyak curah masih ada di pasar. Yang terpenting, menurutnya, sosialisasi terkait bahaya penggunaan minyak curah kepada masyarakat selaku konsumen langsung telah dilakukan.,,Selain itu, kebijakan ini sudah mewajibkan pengusaha untuk mulai beralih ke kemasan premium. ""Ya kami tidak perlu sanksi, yang penting tidak ada suplainya,"" tuturnya.,,Di sisi lain, ia mengatakan kebijakan ini sebenarnya sudah diwacanakan oleh pemerintah sejak 2014, namun terus mundur karena sosialisasi yang belum menyeluruh. Namun, implementasi kebijakan ditunda karena produsen minyak goreng belum siap untuk memperluas unit pengemasan dan menumbuhkan industri pengemasan di daerah.,,,loading...",https://www.posmetro-medan.com/2019/10/sebentar-lagi-minyak-curah-dilarang.html
"Ya Tuhan... Hubungan Sedarah di Sumut Meningkat 40%, Paling Banyak Kasusnya di...",posmetro-medan.com,"Oktober 07, 2019",-,Berita Sumut,-,",,,Miris, meski dianggap tabu dalam agama maupun adat istiadat, hubungan sangat darah atau inses malah meningkat di Sumut.,,Fakta tersebut dibeberkan Senior Officer Advokasi Pusat Kajian dan Perlindungan Anak (PKPA) Sumut, Azmiati Zuliah.,,Sejak 2018 hingga 2019, ada peningkatan kasus hingga 40 persen.,,Satu faktor utamanya karena adanya kepercayaan penuh yang diberikan keluarga kepada anggota keluarga lainnya.,,""Kasus yang baru kami tangani, masalahnya adalah keluarga yang mempercayai terhadap orang yang dianggap keluarga. Orangtua yang bekerja tidak sempat menitipkan anak ke tempat penitipan,"" katanya, Minggu (6/10).,,Karena tidak sempat, anak dititipkan kepada paman yang ada di rumah.,,Ada juga anggota keluarga yang justru tinggal di rumah dari korban.,,Datang dari kampung, tinggal di rumah, dicarikan pekerjaan.,,""Pada suatu kesempatan, orangtua percaya ketika anaknya diajak pergi jalan dan diimingi sesuatu.,,Anak tidak paham.,,Itu adalah modus yang dilakukan oleh pelaku agar korban mau melakukan apa yang diinginkan,"" ujarnya.,,,Kebanyakan korban, sambung Azmiati, berusia sekolah dasar hingga sekolah menengah atas.,,,Bahkan ada yang belum bersekolah. Ia berkata, kebanyakan kasus-kasus yang mereka tangani berada di Polsek Percut Sei Tuan.,,,,Penyelesaian mengenai kasus ini, lanjut Azmiati, sangat kacau.,,,Artinya, penegakan hukum tidak benar-benar dirasakan oleh pencari keadilan. Hal ini dikatakan Azmiati sebagai satu tantangan penyelesaian kasus.,,,""Polisi untuk mau melakukan proses penangkapan itu sangat sulit karena alasan kurangnya personil, masalah biaya kalau di luar daerah Medan karena mereka tidak punya pendanaan. Dan itu harus dikorbankan kepada korban,"" katanya.,,,Hal seperti itu menjadi hambatan dan kendala dalam penegakan hukum, yang akhirnya membuat pelaku masih berkeliaran tanpa ditahan, sementara bukti visum sudah diserahkan pada polisi.,,,""Kami berupaya hingga ke pihak luar untuk bisa mendukung seperti ke Dinas Pemberdayaan Perempuan dan Perlindungan Anak.,,,Kita mendorong bagaimana agar diambil alih saja oleh Polda. Karena memang kasus di Polsek, ada hambatan dan kendala,"" ujarnya. (trb),,,loading...",https://www.posmetro-medan.com/2019/10/ya-tuhan-hubungan-sedarah-di-sumut.html
Ruangan Eldin dan Kadis PU Disegel KPK Sejak Dinihari,posmetro-medan.com,"Oktober 16, 2019",-,Berita Utama,-,",,,Pasca terjaring operasi tangkap tangan oleh Komisi Pemberantasan Korupsi (KPK) Selasa malam (15/10) sampai Rabu dini hari (16/10), tidak hanya ruangan kerja Wali Kota Medan, Dzulmi Eldin yang disegel. Ruangan Kadis Pekerjaan Umum (PU) Kota Medan, Isa Anshari ruangan lainnya juga bernasib sama.,,Berdasarkan pantuan di Kantor Wali Kota Medan di Jalan Kapten Maulana Lubis, ruangan protokoler juga disegel KPK. Sedangkan di Kantor Dinas PU Kota Medan yang terletak di belakang Terminal Pinang Baris, selain ruang kerja kadis, KPK juga menyegel ruang kerja bidang drainase, ruang kerja salah satu tenaga honorer yang selama ini digunakan untuk menyusun sejumlah proyek.,,Berdasarkan informasi didapat, penyegelan dilakukan pagi hari. Dimana sebelum ada pegawai yang datang.,,“Infonya jam tiga pagi ruangan ini disegel. Makanya, begitu pegawai datang sudah terlihat disegel. Kami juga terkejut,” ungkap salah satu pegawai di Dinas PU Kota Medan, Rabu (16/10).,,Para pegawai juga tidak mengetahui apakah adanya dilakukan penggeledahan dan juga ada sejumlah dokumen yang diambil dari ruangan tersebut. “Tidak tahu bang. Kami disuruh pergi,” tandasnya. (pm),loading...",https://www.posmetro-medan.com/2019/10/ruangan-eldin-dan-kadis-pu-disegel-kpk.html
Gubernur Sumbar : Kita Harus Bantu Pulangkan Seluruh Orang Minang Dari Papua,posmetro-medan.com,"September 28, 2019",-,nasional,-,",,,Gubernur Sumatera Barat Irwan Prayitno menyerukan agar masyarakat provinsi itu di kampung halaman maupun yang tersebar di seluruh daerah di Indonesia untuk ikut membantu kepulangan perantau dari Wamena, Jayawijaya, Papua.,,""Aparatur Sipil Negara (ASN) Pemprov Sumbar sudah mulai pengumpulan bantuan. Diharapkan ASN di kabupaten dan kota juga mengikuti. Masyarakat di kampung dan di rantau juga bisa mengirimkan bantuan,"" katanya di Padang, Sabtu, 28 September 2019.,,Kepedulian semua pihak sangat diharapkan karena biaya pemulangan dari perantau Minang itu cukup besar. Berdasarkan informasi dari Ketua Ikatan Keluarga Minang (IKM) Papua, Zulhendri Sikumbang, sementara ini ada sekitar 327 kepala keluarga perantau di Wamena yang ingin pulang.,,Dengan estimasi tiga orang per keluarga, ada 900 orang lebih yang harus dibantu kepulangannya. Harga tiket pesawat dari Papua-Padang diperkirakan Rp 5 juta per orang. Jadi setidaknya butuh Rp 4,5 miliar anggaran untuk membantu pemulangan perantau itu.,,Irwan mengatakan Pemprov Sumbar sudah membuka rekening khusus untuk membantu perantau di Wamena tersebut. Siapapun yang bersedia membantu bisa mengirimkan bantuan ke rekening Bank Nagari 2101.0210.07340-3 atas nama Sumbar Peduli Sesama.,,Nasib perantau Minang di Wamena saat ini, katanya, masih simpang siur. Informasi terakhir sebagian besar termasuk wanita dan anak-anak masih bertahan di tenda-tenda pengungsian.,,Untuk memastikan kondisinya Wakil Gubernur Sumbar Nasrul Abit bersama sejumlah perwakilan OPD langsung diutus ke Papua untuk memastikan hal itu. Rombongan itu juga membawa sedikit bantuan yang sempat terkumpul sebelum keberangkatan.,,""Dari hasil pertemuan nanti diharapkan akan didapat informasi pasti kondisi dan berapa orang warga Sumbar di sana yang ingin pulang namun tidak punya biaya lagi,"" katanya.,,Sebelumnya kerusuhan di Wamena mengakibatkan 28 orang tewas. Sepuluh diantaranya perantau Minang yang berasal dari Pesisir Selatan, Sumatera Barat.,,Delapan dari sepuluh jenazah itu sudah dipulangkan dan dikuburkan di kampung halaman. Namun, kondisi perantau di Wamena masih simpang siur. Banyak informasi tidak jelas menyebar melalui pesan WA dan media sosial.,,,loading...",https://www.posmetro-medan.com/2019/09/gubernur-sumbar-kita-harus-bantu.html
"Anggota KPK Hampir Tewas saat Kejar Anak Buah Eldin, Ini Kronologinya...",posmetro-medan.com,"Oktober 16, 2019",-,Berita Utama,-,",,,Ada cerita lain di balik operasi tangkap tangan (OTT) yang dilakukan Komisi Pemberantasan Korupsi (KPK). Dalam OTT yang terjadi Selasa malam (15/10) di rumah Kepala Dinas PU, dua orang petugas lembaga antirasuah nyaris celaka.,,Kejadian bermula saat tim KPK mendatangi kediaman Kepala Dinas PU sekitar pukul 21.25 WIB. Kala itu terpantau sebuah mobil Avanza silver yang diduga dikendarai oleh Staf protokol Walikota, AND. Merasa diikuti, AND terus melajukan mobilnya dengan kencang di salah satu ruas jalan di Kota Medan.,,""Sampai akhirnya dalam posisi yang sudah diapit oleh tim, mobil berhenti, namun AND tidak turun,"" jelas Jurubicara KPK, Febri Diansyah di Gedung KPK, Jakarta Selatan, Rabu (16/10).,,,Tim kemudian menghampiri mobil tersebut dan menunjukkan identitas KPK.,,""Akan tetapi, pengemudi (AND) justru memundurkan mobil dan memacu kecepatan hingga hampir menabrak tim KPK. Dua orang tim selamat karena langsung meloncat untuk menghindari kecelakaan,"" tegasnya.,,Hingga saat ini Tim KPK masih terus melakukan pencarian keberadaan AND lantaran diduga menerima uang sebesar Rp 50 juta dari Kepala Dinas yang akan diperuntukkan pada Walikota.,,""Kepada saudara AND agar segera menyerahkan diri dan tidak berupaya menghindar dari petugas,"" pungkasnya.,,Dalam OTT kali ini, KPK mengamankan tujuh orang, di antaranya Walikota Medan, Dzulmi Eldin; Kadis PU; Protokoler; dan ajudan Walikota, termasuk dari pihak swasta. (rmol),loading...",https://www.posmetro-medan.com/2019/10/anggota-kpk-hampir-mati-saat-kejar-anak.html
"Nggak Pernah Datang ke Sidang PBB, JK : Semoga Nanti Pak Jokowi Berani Datang",posmetro-medan.com,"September 28, 2019",-,Berita Utama,-,",,,Wakil Presiden Jusuf Kalla berharap di masa mendatang, atau di periode kedua masa kepemimpinan, Presiden Joko Widodo bersedia menghadiri sendiri rangkaian Sidang Majelis Umum Perserikatan Bangsa-Bangsa (PBB).,,Pasalnya, menurut JK, kehadiran seorang kepala negara menjadi penting dalam hajatan terbesar internasional itu.,,""Saya harap Pak Jokowi nanti hadir. Itu penting karena bagaimana pun Presiden dan Wapres kan berbeda, dia punya tingkatannya. Dan juga semuanya (kepala negara lain) menanyakan, mana Pak Joko?, jadi yang ditanya Pak Jokowi,"" kata Wapres JK seperti dikutip dari Antara, Sabtu (28/9).,,,Pada awalnya, JK berharap Jokowi bakal hadir pada Sidang Majelis Umum PBB ke-74 tahun ini di New York, Amerika Serikat. Pasalnya, sudah empat kali JK mewakili Indonesia ke PBB. Jokowi belum pernah datang.,,""Saya kira memang tahun ini, kita harapkan beliau (Jokowi) hadir. Tapi karena kesibukan di dalam negeri, jadi saya yang pergi untuk mewakili beliau. Jadi sekali lagi, itu penting bagi suatu kepala negara hadir di sini,"" tambah JK.,,Dari informasi yang dihimpun, JK, sapaan karib Wapres, mendapat giliran menyampaikan pidato di hari ketiga Sesi Debat Umum Sidang Majelis Umum ke-74 PBB. Padahal, jika Presiden Jokowi yang hadir sendiri, Indonesia bisa mendapat giliran di hari pertama atau kedua pada Sesi Debat Umum.,,""Jadi ukurannya bukan negara besar atau tidak, tapi anda (pembicara) pangkatnya apa, itu protokolernya berlaku. Seperti tadi yang berbicara pertama dari Mauritius, itu negara penduduknya hanya 20 ribu sampai 30 ribu. Jadi kalau Pak Jokowi (hadir), mungkin hari pertama atau hari kedua berbicara. Ini saya baru hari ketiga berbicara,"" demikian JK.,,,loading...",https://www.posmetro-medan.com/2019/09/nggak-pernah-datang-ke-sidang-pbb-jk.html
