title,source,date,time,category,sub-category,content,url
"Prediksi Susunan Pemain Timnas Inggris vs Kosovo, Gareth Southgate akan Rotasi Tim",tribunnews.com,10-Sep-19,23:04,Super Skor,Super Skor," - Prediksi Susunan Pemain , vs Kosovo ,, Rabu (11/9/2019), Pelatih ,, Gareth Southgate akan Rotasi Pemain.,Inggris akan menjamu Kosovo dalam laga lanjutan grup A Kualifikasi EURO 2020, di St Marry Stadium, Southampton, Rabu (11/9/2019).,Dalam laga ini, Pelatih Timnas Inggris, Gareth Southgate, akan mencoba untuk merotasi pemain setelah menang 4-0 atas Bulgaria, Sabtu (7/9/2019) lalu.,Dikutip , dari SkySport, Southgate mengatakan timnas Inggris butuh pembaharuan dalam tim.,""Kami mungkin butuh pemain yang lebih fit untuk laga nanti, itu akan sangat penting."",""Semua pemain siap untuk main, kami butuh mendapatkan lini serang dan bertahan yang baik untuk memastikan kami memenangkan laga,"" ujar mantan pemain , tersebut.,Jelang menghadapi Kosovo, Souhgate mengharapkan pengalaman yang berbeda saat melawan Kosovo.,""Kami mengharapkan tantangan berbeda pada laga nanti, tapi kami juga akan mencari kesempatan mendapatkannya,"" imbuhnya.,Kosovo, menurut Southgate, memiliki permainan dengan pressing tinggi dan pekerja keras, serta serangan yang sangat mematikan.",https://www.tribunnews.com/superskor/2019/09/10/prediksi-susunan-pemain-timnas-inggris-vs-kosovo-gareth-southgate-akan-rotasi-tim
"Ambil Formulir Pilkada Tangsel dari PDI-P, Siti Nur Azizah Sudah Izin Ma'ruf Amin",tribunnews.com,10-Sep-19,23:04,Regional,Regional," - Putri Ma'ruf Amin, , sudah mengambil formulir pendaftaran untuk menjadi calon wali kota , (Tangsel) dari PDI Perjuangan, Senin (9/9/2019).,Terkait rencana pendaftaran diri di partai banteng tersebut, Azizah disebut sudah menjalin komunikasi dengan sang ayah, Ma'ruf Amin.,""Sudah komunikasi (soal pengambilan formulir ke PDI-P) dengan Abah (Ma'ruf Amin) dan selalu mendukung,"" ujar Ketua Tim Pemenangan Azizah, Deni Charter saat dihubungi, Selasa (10/9/2019).,Deni sendiri tidak dapat memastikan merapatnya Aziah ke PDI-P atas dasar bisikan Ma'ruf. Tetapi yang pasti, Azizah mengambil formulir di PDI-P karena ingin maju lewat partai yang berkelas.,Selain itu, PDI-P sejauh ini menjadi partai pertama yang membuka pendaftaran.,""Soal bisiklan dari Abah saya tidak tahu. Itu biasanya Ibu langsung, kalau saya tim aja. Yang pasti Ibu ingin partai Mercy dan Alphard,"" katanya.,Azizah mengambil formulir setelah DPC PDI-P mengumumkan secara resmi membuka pendaftaran bakal calon wali kota Tangsel yang pertama berdasarkan rapat pleno beberapa waktu lalu yang tertuang dalam SK/021/TAP/DPC-TS/IX/2019.,Selain Aziah, empat nama lainnya juga sudah mengambil formulir di PDI-P diantaranya TB Rahmad Sukendar, Tomi Patria, Kolonel Beben dan Hery Gagarin.",https://www.tribunnews.com/regional/2019/09/10/ambil-formulir-pilkada-tangsel-dari-pdi-p-siti-nur-azizah-sudah-izin-maruf-amin
"Mulan Jameela Mantan Duet Maia Estianty Rela Makan Nasi Garam, Keuangan Istri Ahmad Dhani Sulit?",tribunnews.com,10-Sep-19,23:14,Seleb,Seleb,"Kondisi keuangan , setelah , dipenjara dikabarkan menjadi berkurang.,Mantan rekan duet , ini mengungkapkan rela makan nasi garam di salah satu unggahan insta story.,- Kondisi keluarga,semenjak,mendekam di penjara selalu menjadi sorotan publik.,Baru-baru ini,membagikan video di insta story yang menampilkan ia bersama,sedang makan di warteg pada Selasa 10 September 2019.,ujar Patrecia Nelson atau yang lebih dikenal dengan Petty duo Jebe & Petty.,Pada hari sebelumnya,juga membagikan insta story saat yang juga sedang makan di warteg.,Sebelum memasuki warteg,,bertanya kepada Petty apakah keberatan jika makan di warung sederhana itu.,ujar Mulan seperti yang dikutip,dari insta story Mulan Jameela.,jawab Petty. ",https://www.tribunnews.com/seleb/2019/09/10/mulan-jameela-mantan-duet-maia-estianty-rela-makan-nasi-garam-keuangan-istri-ahmad-dhani-sulit
"Dukung Operasional Bandara Internasional Kertajati, Pasokan Avtur Perlahan Bergeliat",tribunnews.com,10-Sep-19,23:04,Pertamina,Pertamina,"PT , (Persero) Marketing Operation Region III, dalam dua bulan terakhir, kian intens menyuplai bahan bakar pesawat terbang Avtur bagi sejumlah maskapai penerbangan di Bandara Internasional Jawa Barat (BIJB) atau sering disebut Bandara Kertajati. , ,Sejak dipindahkannya penerbangan reguler dari Bandara Husein Sastranegara Bandung ke Bandara Kertajati, terjadi peningkatan jadwal penerbangan hingga 70 persen.,Hal tersebut berimbas pada pasokan Avtur bagi penerbangan di Kertajati, di mana saat ini rata-rata suplai hingga 70 kiloliter per hari.,General Manager , Marketing Operation Region III Tengku Fernanda menyatakan, , terus mendukung kebutuhan Avtur di BIJB dan telah menyiapkan fasilitas pendukung Depot Pengisian Pesawat Udara (DPPU) untuk memenuhi kebutuhan maskapai.,""Kami upayakan semaksimal mungkin, dimana pasokan Avtur dari Terminal BBM Balongan dibawa ke DPPU menggunakan mobil tangki khusus Avtur, yakni bridger berkapasitas 24 kiloliter. Selanjutnya, Avtur ditampung dalam 4 unit tangki modular berkapasitas masing-masing 20 kiloliter, dan kemudian diisikan menggunakan mobil tangki khusus untuk mengisi ke pesawat atau disebut mobil tangki ,,"" kata Tengku Fernanda.,Pria yang akrab disapa Fernanda ini menyatakan jika dihitung secara volume, suplai Avtur ke BIJB masih relatif kecil, maksimal 70 kiloliter per hari atau sekitar 1,4 persen dibandingkan total pasokan di Bandara Soekarno Hatta.,""Namun yang patut digarisbawahi bahwa seberapapun kebutuhannya kami upayakan untuk dapat mendukung BIJB, agar dapat tumbuh dan terus berkembang sehingga menjadi Bandara penyangga di Jawa Barat,"" katanya.,Sejak dibuka sebagai bandara reguler, saat ini BIJB melayani sekitas 12 jadwal penerbangan per hari, dengan berbagai kota tujuan di luar Pulau Jawa. Adapun dua maskapai yang telah beroperasi rutin yakni Lion Air dan Air Asia.,""Bandara Kertajati akan menjadi salah satu bandara terbesar di Indonesia. Menyambut hal tersebut, kami juga telah menyiapkan peningkatan layanan dan fasilitas DPPU, dimana salah satunya untuk mengantisipasi penerbangan untuk umroh yang akan dilakukan dalam waktu dekat,"" tambah Fernanda.",https://www.tribunnews.com/pertamina/2019/09/10/dukung-operasional-bandara-internasional-kertajati-pasokan-avtur-perlahan-bergeliat
"KPK Cekal Melchias Markus Mekeng, Golkar Minta Tidak Buruk Sangka Dahulu",tribunnews.com,10-Sep-19,23:08,Nasional,Nasional," Koordinator Bidang Komunikasi, Media, dan Penggalangan Opini Golkar , angkat bicara mengenai pencekalan Ketua Fraksi Golkar di DPR, ,.,Ace meminta untuk tidak berburuk sangka terlebih dahulu kepada Mekeng. Sebab, Mekeng statusnya hanya dicekal bepergian ke luar negeri.,""Ini kan pencekalan. Kita jangan dulu berburuk sangka atas status pencekalan atas Pak Mekeng,"" ujar Ace saat dihubungi, Selasa, (10/9/2019).,Ace yakin Mekeng akan kooperatif bila dimintai keterangannya oleh KPK dalam kasus yang membuatnya dicekal itu. Mekeng akan memberikan keterangannya apabila diminta oleh KPK.,""Kami yakin Pak Mekeng akan kooperatif terhadap proses hukum ini jika dimintai keterangan oleh KPK,"" katanya.,Sementara itu Mekeng sendiri belum merespon, pertanyaan yang diajukan Tribunnews melalui pesan Whatsapp, terkait pencekalannya itu.,Sebelumnya, Komisi Pemberantasan Korupsi (KPK) mencegah Anggota DPR , untuk dapat bepergian ke luar negeri.,Ketua Fraksi Partai Golkar DPR itu dilarang ke luar negeri dalam proses penyidikan kasus dugaan korupsi pengurusan terminasi kontrak Perjanjian Karya Pengusahaan Pertambangan Batubara (PKP2B) PT Asmin Koalindo Tuhup (AKT) di Kementerian ESDM.,""Yang bersangkutan dicegah selama 6 bulan ke depan terhitung Selasa, 10 September 2019,"" kata Juru Bicara KPK Febri Diansyah kepada wartawan, Selasa (10/9/2019).,Selain itu, KPK telah menjadwalkan pemeriksaan terhadap Mekeng pada Rabu (11/9/2019) besok.",https://www.tribunnews.com/nasional/2019/09/10/kpk-cekal-melchias-markus-mekeng-golkar-minta-tidak-buruk-sangka-dahulu
"Harga Samsung Galaxy A10, Simak Spesifikasi dan Fitur Unggulannya!",tribunnews.com,10-Sep-19,23:05,Techno,Techno," - Samsung kembali menyasar pasar menengah di Indonesia.,Hal tersebut terbukti dengan dikeluarkannya dua produk seri A dengan harga yang tidak menguras kantong.,Dua produk seri A tersebut adalah Samsung , dan ,s.,Galaxy A10 dibanderol Rp 1,6 jutaan.,Samsung , dibekali layar selebar 6.2 inci.,Dengan lebar 6.2 inci, smartphone tersebut memiliki resolusi 720 x 1,520 piksel.,Galaxy A10 diotaki Exynos 7884 dengan fabrikasi sebesar 14 nm.,Dari segi penyimpanan, smartphone berponi tersebut dibekali RAM dan besaran penyimpanan internal 2/32 GB yang dapat diekspansi hingga 1 TB menggunakan microSD.,Ponsel tersebut juga meliki resolusi kamera utama sebesar 13 MP.",https://www.tribunnews.com/techno/2019/09/10/harga-samsung-galaxy-a10-simak-spesifikasi-dan-fitur-unggulannya
"Kasus Oknum Kepsek dan Guru TK Berbuat Mesum, Warga Curiga Ada Sepeda Motor Malam-malam di Sekolah",tribunnews.com,10-Sep-19,23:20,Regional,Regional," - Kepala Dusun Prebutan, Desa Kemejing, Kecamatan Semin menuntut oknum , dan guru Taman Kanak-Kanak (TK) di Kecamatan Semin untuk diberhentikan secara tidak hormat usai tertangkap basah sedang melakukan perbuatan ,.,Kepala Dusun Prebutan Nugroho mengatakan kronologis awal penggerebekan terjadi pada Kamis (5/9/2019) malam.,Oknum ASN berinisial DRN dan DN kepergok berbuat , saat para pemuda dusun sekitar pukul 19.00 WIB berkumpul di sebuah sekolah untuk mengakses internet di sekolah tersebut.,""Para pemuda curiga kok ada dua sepeda motor masih terparkir di lingkungan sekolah hingga malam hari,"" kata kepala dusun.,""Lalu terdengar suara perempuan, lantas para pemuda ini mencari tahu sebenarnya siapa yang malam-malam masih berada di sekolah,"" kata Nugroho, Senin (9/9/2019).,Ruang guru masih dalam keadaan lampu menyala, lalu pemuda mencoba mengintip pada sebuah celah.,Lalu tiba-tiba lampu dimatikan oleh seseorang yang berada di dalam.,""Mungkin karena terlalu gaduh di luar, DRN dan DN mematikan lampu. Lalu mereka menelepon saya bahwa DRN dan DN ternyata sedang melakukan perbuatan asusila dan saya dikirimi bukti oleh mereka,"" jelasnya.,""Tidak lama berselang saya langsung ke tempat kejadian,"" jelasnya.,Setelah itu dia langsung menginterograsi kedua pasangan yang bukan muhrim tersebut.",https://www.tribunnews.com/regional/2019/09/10/kasus-oknum-kepsek-dan-guru-tk-berbuat-mesum-warga-curiga-ada-sepeda-motor-malam-malam-di-sekolah
Valeninto Masih Ikut Balap Bikin Terkesan Max Verstappen,tribunnews.com,10-Sep-19,23:19,Sport,Sport," - Pembalap Formula 1 (F1). Max Verstappen, sangat mengagumi penampilan Valentino Rossi pada ajang MotoGP.,Kendati mengalami pasang surut, Valentino Rossi yang masih membalap untuk tim Monster Energy Yamaha ternyata masih mempunyai daya tarik bagi para penggemar balap motor paling bergengsi di dunia itu.,Sempat tampil kompetitif dengan meraih finis di podium dalam dua balapan beruntun, rider berjulukan The Doctor itu pelan-pelan mengalami penurunan performa.,Dia kesulitan untuk bisa bersaing di baris depan dan meraih hasil maksimal dalam beberapa seri selanjutnya, hingga puncaknya dia menorehkan hasil gagal finis dalam tiga seri beruntun.,Setelah memasuki paruh kedua musim 2019, pembalap berusia 40 tahun itu sedikit-sedikit mulai mampu memperbaiki kinerjanya dan menebus catatan buruk yang sempat dia torehkan itu.,Penampilan Valentino Rossi yang masih mampu bersaing dengan para pembalap yang lebih muda di kelas utama turut membuat pembalap F1 dari tim Red Bull, Max Verstappen untuk memberikan komentarnya.,Pembalap asal Belanda mengaku terkesan dengan hasrat yang ditunjukkan oleh Valentino Rossi di dunia balap, di mana dengan usianya sekarang masih berkompetisi pada ajang tertinggi.,""Saya mengikuti MotoGP dan saya harus mengatakan bahwa sangat terkesan dengan apa yang , lakukan dengan usianya sekarang,"" kata Max Vertappen.,""Saya pribadi tidak pernah bertemu dengannya, dia benar-benar luar biasa, dia mempunyai gairah dan dia telah menunjukkan kecintaan yang luar biasa dengan dunia balap,"" ujar Verstappen.,Pembalap berusia 23 tahun itu berharap jika dirinya akan kembali melihat , berdiri di podium kemenangan lagi di tengah dominasi , bersama Repsol Honda.",https://www.tribunnews.com/sport/2019/09/10/valeninto-masih-ikut-balap-bikin-terkesan-max-verstappen
"Seorang Wanita Gantung Diri Setelah Cekcok dengan Suami soal Foto Pelukan, Tulis Pesan Terakhir",tribunnews.com,10-Sep-19,23:27,Regional,Regional," - Sebelum tewas ,, wanita berinisial ILS (32) yang cekcok dengan suami soal foto dirinya berpelukan dengan pria lain menitip pesan.,Pesan itu disampaikan langsung kepada suaminya S (37), setelah mereka cekcok di rumahnya, Senin (9/9/2019) malam.,ILS minta suaminya agar menjaga dan merawat empat orang anaknya, yang tiga orang masih sekolah dan satu masih balita.,""Kalau saya tiada, anak-anak tolong dirawat. Itu pesan ILS pada suaminya setelah cekcok,"" kata Paur Humas Polres Agam, Aiptu Sapta Beni, saat dihubungi Kompas.com, Selasa (10/9/2019).,Sapta mengatakan, berdasarkan informasi, anak ILS ada empat orang.,Anak paling besar masih duduk di bangku SMP berumur 15 tahun, kemudian SD berumur 12 dan 8 tahun. Anak terakhir masih balita berumur 4 tahun.,""Anaknya ada empat orang, tiga masih sekolah dan yang paling kecil balita berumur 4 tahun,"" kata Sapta Beni.,Sebelumnya diberitakan, seorang wanita berinisial ILS (32), warga Kabupaten Agam, ,, nekat mengakhiri hidupnya dengan cara ,, Senin (9/9/2019).,Tindakan itu setelah ILS dan suaminya, S (37) cekcok masalah foto di dalam ponsel.,Dalam foto itu, terlihat ILS berpelukan dengan pria lain. Setelah cekcok, ILS sudah minta maaf ke S.",https://www.tribunnews.com/regional/2019/09/10/seorang-wanita-gantung-diri-setelah-cekcok-dengan-suami-soal-foto-pelukan-tulis-pesan-terakhir
"Dapat Sorakan Dari Suporter Indonesia, Simon Bela Kiper Andritany",tribunnews.com,10-Sep-19,23:27,Super Skor,Super Skor," - Kiper , yang juga menjabat sebagai kapten, , sempat disoraki suporter Indonesia saat menjamu Thailand di ,, Senayan, Jakarta, Selasa (10/9/2019) malam.,Andritany mendapat sorakan disinyalir karena dirinya sempat menyebabkan terjadinya penalti.,Tekel Andritany kepada pemain Thailand yang terjadi di dalam kotak penalti membuat wasit Ma Ning asal China tak ragu menunjuk titik putih.,Pemain belakang Thailand yang menjadi algojo, Thereraton Bunmathan sukses mencetak gol dan mengubah kedudukan menjadi 2-0.,Pelatih Indonesia, , sangat menyanyangkan perlakuan dari suporter. Hal itu ia katakan dalam konferensi pers seusai laga.,“Semua pemain kayaknya dalam tekanan, tapi dia (Andritany) sudah terbiasa bermain dengan full stadion. Dia berhasil melakukan 4-5 safe, tapi karena satu kesalahan semuanya hilang,” kata Simon.,“Dalam pertandingan dia bisa jadi pahlawan, tapi karena satu kesalahan dia juga bisa jadi musuh bersama. Saya kecewa dengan apa yang dilakukan suporter ke pemain kita sendiri,” sambungnya.,Kekalahan 0-3 dari Thailand membuat Indonesia untuk sementara berada di dasar klasemen grup G kualifikasi Piala Dunia 2022 zona asia lantaran mengoleksi dua kali kekalahan.,Pada laga selanjutnya Indonesia giliran menjalani laga away kontra Uni Emirate Arab. Pertandingan tersebut bakal dihelat di  Rashid Al Maktoum Stadium, pada 10 Oktober 2019.",https://www.tribunnews.com/superskor/2019/09/10/dapat-sorakan-dari-suporter-indonesia-simon-bela-kiper-andritany
